"Timestamp","I enjoy working on more than one project a time.","I work better when I work alone. ","I prefer exciting tasks over boring ones.","I can be easily distracted during work or study. ","I have high standard for my work or study. ","I like to switch between tasks.","I focus a lot on details. ","I usually dive straight into it when I get a new task.","I like to have my work approved by others."," I have a daily or weekly plan for my work or study.","I enjoy having big ideas."," I lose track of time when I am absorbed in my task. ","I procrastinate a lot.","I find it hard to switch between tasks. ","I like spontaneous activities or tasks. "," I spend a lot of time on finishing touches of my work.","I can focus for long period."," I always know how to prioritise my tasks. ","I like instant reward. ","I prefer to finish one task before moving on to another. ","I am usually the one who arrive late or miss the appointment."," I am more productive when I have more tasks. "," I tend to make decision at the last minute.","I focus on big picture more than details of a project.","I work better when I can decide the deadline myself. ","What do you think/hope time management can help you to do?","Please tell us (as many as possible) the advices/methods/tools you find useful to you in your time management? "," Please tell us (as many as possible) the advices/methods/tools you find useless to you in your time management? "
"2021/12/13 5:38:47 PM GMT+1","2","4","2","3","3","2","4","4","3","1","1","3","3","2","1","4","3","3","2","4","1","3","2","1","4","Do my task in regular and in order. maintain it.","1. Think about duration of that task(how much it takes). 2.think about what it needs to be done for that task. 3. think about how much time I have. 3. make a section from that task. 4. put section in my daily plan. 5. define the start point and finish point for that. 5. write it down on paper. 6.track it.","use google app to remind me my tasks. use reminder of mac to define tasks and other stuff. "
"2021/12/14 12:50:52 PM GMT+1","2","3","4","3","2","1","3","4","3","3","4","3","2","2","3","3","3","3","3","3","1","2","1","2","4","give better results","Taking notes for myself","taking alot of time in thinking for small things"
"2021/12/14 8:29:35 PM GMT+1","2","3","2","4","3","3","2","2","3","3","3","4","2","1","2","2","2","3","2","1","3","4","3","3","2","Stay focussed, don't get distracted, have better feeling for time","Ivy Lee Methode, have a clean environment, divide big tasks into subtasks, do sports for general health/mental focus","writing just to do lists, "
"2021/12/14 8:41:07 PM GMT+1","3","4","4","2","3","3","2","4","4","1","3","4","3","2","4","2","4","3","4","2","1","3","2","3","3","Prioritising, keeping focus, taking enough breaks ","To do lists, JIRA, calendar (block off time for specific tasks), forcing myself to take breaks when I get stuck ","Rigid time management frameworks, especially when the focus/work intervals are too short "
"2021/12/14 8:47:45 PM GMT+1","2","4","3","3","3","2","3","3","3","3","2","2","2","2","2","3","2","3","3","3","1","3","1","2","3","","Calendar and task-function in Outlook
Calendar on mobile phone ",""
"2021/12/14 8:55:21 PM GMT+1","2","4","3","3","4","4","2","2","4","1","3","4","4","2","4","1","4","4","4","2","3","4","4","3","2","","",""
"2021/12/14 9:48:08 PM GMT+1","4","3","4","2","3","3","3","2","3","2","3","2","2","2","3","2","3","4","3","2","1","3","2","3","1","To reduce working hours and / or being more efficient ","",""
"2021/12/14 10:52:01 PM GMT+1","2","3","4","4","4","1","4","4","3","1","4","4","4","4","2","4","3","3","4","4","2","1","4","3","2","Increase my efficiency","Split tasks in smaller portion working on them one after another","Long-term schedules"
"2021/12/16 11:17:16 AM GMT+1","2","3","3","4","3","3","4","2","4","2","2","4","3","3","2","4","3","2","3","3","1","3","2","3","3","Work more efficiently and get things done on time","Writing lists
Taking small breaks","Impossible deadlines
Working when tired or ill"
"2021/12/17 9:36:25 PM GMT+1","4","4","4","2","4","3","3","","2","3","4","4","3","1","2","2","3","2","3","1","2","2","2","2","3","Manage my time and my energy better","Breaking down tasks into small actionable units. Calendars. Pomodoro. Turning off phone and all other distractions.","Getting too much advice instead of actually doing the work"
"2021/12/18 12:09:07 AM GMT+1","2","2","4","1","4","1","4","1","3","4","4","4","3","2","4","4","4","4","3","4","3","4","3","2","1","","Plan. Write things down. Lists. ","Anything involving technology! Sorry. I prefer to write things down "
"2021/12/18 12:13:31 AM GMT+1","3","3","3","4","3","3","2","2","3","4","3","4","2","3","2","2","2","3","2","2","1","2","2","4","4","Help me manage tasks more effectively and efficiently. ","I use timers on my phone. I write lists mostly on my phone or on paper. ","I find anything too involved doesn’t help. Can’t use a complicated app for instance because the stress of it makes things worse. I prefer tactile things or simple interfaces. Anything that nudges me or sends lots of messages actually gets in the way. "
